timestamp,cpu_percent,memory_percent,disk_percent,net_sent,net_recv
2025-09-29T03:36:44.219147,43.3,83.0,45.5,23.48548698425293,703.2696495056152
2025-09-29T03:37:06.793587,80.0,87.1,45.5,24.35627555847168,704.0274486541748
2025-09-29T05:56:48.045235,100.0,80.8,45.5,25.20054340362549,705.375768661499
2025-09-29T05:57:05.231627,99.6,81.6,45.5,25.913697242736816,712.0380449295044
2025-09-29T08:55:16.879005,92.0,87.3,45.5,27.47424030303955,716.6589813232422
2025-09-29T08:57:05.276584,30.0,87.7,45.5,29.888501167297363,752.0675792694092
2025-09-29T09:02:05.135859,48.9,88.6,45.6,32.68864917755127,797.4020090103149
2025-09-29T09:07:04.935437,11.0,86.1,45.6,33.6969051361084,870.2102499008179
2025-09-29T09:12:04.938050,10.9,88.0,45.6,34.29123878479004,929.1576747894287
2025-09-29T09:17:05.285007,12.4,80.5,45.6,34.894575119018555,979.6753835678101
2025-09-29T09:22:05.128563,17.5,81.1,45.6,35.47166156768799,1037.5572910308838
2025-09-29T09:27:05.733050,46.9,87.0,45.6,36.72433567047119,1090.8481016159058
2025-09-29T09:32:05.156772,12.0,77.1,45.6,37.2802619934082,1105.7686748504639
2025-09-29T09:37:04.941843,11.0,80.9,45.6,37.8326416015625,1135.331377029419
2025-09-29T09:42:05.065789,12.7,87.4,45.6,39.148847579956055,1222.969081878662
2025-09-29T09:47:04.940542,12.0,88.2,45.6,39.69707679748535,1273.7776651382446
2025-09-29T09:52:05.025263,24.1,92.9,45.6,41.494229316711426,1336.9595203399658
2025-09-29T09:57:05.282630,26.3,90.2,45.6,43.15889549255371,1400.543360710144
2025-09-29T10:02:05.129740,14.9,79.4,45.6,43.67639446258545,1433.056269645691
2025-09-29T10:07:05.108668,13.5,81.2,45.6,44.150601387023926,1469.8886766433716
2025-09-29T10:12:05.263091,32.6,83.3,45.6,44.60903835296631,1507.4209508895874
2025-09-29T10:17:04.925318,13.9,84.1,45.6,45.24451732635498,1559.0840978622437
2025-09-29T10:22:04.865338,9.0,87.0,45.6,45.70683574676514,1574.0466403961182
2025-09-29T10:27:04.881574,30.8,86.4,45.6,46.42027282714844,1605.0438394546509
2025-09-29T10:32:04.937748,4.7,89.8,45.6,47.091538429260254,1650.010729789734
2025-09-29T10:37:04.962722,8.9,90.7,45.6,47.524495124816895,1703.6647472381592
2025-09-29T10:42:05.021311,14.3,94.5,45.6,48.222304344177246,1746.8004531860352
2025-09-29T10:47:04.922046,16.5,94.1,45.6,49.36941719055176,1774.8231658935547
2025-09-29T10:52:04.890791,14.7,86.7,45.6,50.03170108795166,1800.380301475525
2025-09-29T10:57:05.504617,33.3,81.9,45.6,50.94332218170166,1801.3717594146729
2025-09-29T12:00:37.342719,100.0,86.6,45.6,52.108941078186035,1804.917550086975
2025-09-29T12:02:05.129995,29.2,84.9,45.7,52.754037857055664,1805.8054494857788
2025-09-29T12:07:05.085811,11.5,86.2,46.5,56.01053428649902,5697.4680461883545
2025-09-29T12:12:05.066073,13.2,88.5,47.3,58.73948001861572,9210.010740280151
2025-09-29T12:17:05.114532,30.1,88.4,47.4,61.81350135803223,12818.00152873993
